in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:W_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,45,40,0.85,1.6,7.6,0.9,0.3,0.0,35,1.6,5.9,1.0,0.3,0.0,0,-70,1.6,0.2,9,0.1,0.3,0.05,0.05,82.202,100.0,85.4938,66.795154,30.955581
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,35,34,1.05,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2.0,0.7,2.1,0,-40,1.8,0.0,5,0.02,0.9,0.0,0.0,80.761,54.9383,100.0,77.463457,20.675604
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,65,58,0.85,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2.0,1.9,0.9,0,-80,1.2,0.1,9,0.1,0.8,0.05,0.0,80.933,98.7654,92.284,76.801574,22.88995
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,Index_25_Top.png,70,38,0.82,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.8,0.4,6,0.7,0.5,0.55,0.15,82.647,100.0,94.1358,77.078889,34.042865
33,Index_33_Parallel.png,Index_33_Back.png,Index_33_Front.png,Index_33_Top.png,55,34,1.6,1.9,7.8,0.9,0.1,0.0,40,1.8,6.0,0.9,0.0,0.2,0,-80,2.0,0.1,4,1.0,1.0,0.0,0.15,83.162,100.0,87.03699999999999,70.061852,24.765524
35,Index_35_Parallel.png,Index_35_Back.png,Index_35_Front.png,Index_35_Top.png,40,40,1.03,2.6,4.2,0.4,0.9,2.8,20,0.9,6.0,0.8,0.1,0.1,0,-80,2.0,0.1,5,0.02,0.1,0.0,0.0,82.339,100.0,83.3333,70.7375,41.412801
43,Index_43_Parallel.png,Index_43_Back.png,Index_43_Front.png,Index_43_Top.png,50,47,1.93,2.2,6.1,0.8,0.2,1.6,30,1.4,5.8,0.8,0.0,0.4,0,-80,1.8,0.3,4,0.1,0.1,0.05,0.05,84.156,100.0,76.5432,58.578549,39.057547
65,Index_65_Parallel.png,Index_65_Back.png,Index_65_Front.png,Index_65_Top.png,30,30,0.95,1.2,6.8,0.8,0.0,1.1,10,0.7,3.9,2.0,1.3,1.0,0,-80,2.0,0.4,8,0.02,1.0,0.0,0.0,80.898,38.8889,98.1481,77.692747,18.440281
69,Index_69_Parallel.png,Index_69_Back.png,Index_69_Front.png,Index_69_Top.png,30,29,0.98,2.0,4.0,0.9,3.0,0.9,30,1.4,5.8,0.8,0.3,0.1,0,-60,1.7,0.5,5,0.02,0.2,0.0,0.0,82.133,100.0,84.8765,71.000432,32.918164
81,Index_81_Parallel.png,Index_81_Back.png,Index_81_Front.png,Index_81_Top.png,50,31,0.8,2.6,5.2,0.4,2.0,0.7,15,0.7,5.8,2.0,0.3,0.1,0,-80,1.6,0.8,5,0.5,0.1,0.2,0.2,81.276,95.9877,93.8272,77.863086,36.236378
