in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
0,55,38,2.1,7.1,0.8,0.3,0.5,40,1.8,6,0.9,0.1,0.1,0,-50,0.3,0,3,1.1,1,2.45,0.35,0.75,1,83.779,1,0.799383,62.888117,30.407416,5,-999
1,65,58,2.3,7.6,0.7,0.2,0.1,30,1.7,4.8,0.9,1.3,0.1,0,-10,0.7,0.4,9,0.1,0.4,0.85,0,0.1,1,82.305,1,0.814815,62.052006,29.28979,7,-999
2,60,57,2.1,7.7,0.9,0.2,0,25,1.1,6.1,0.8,0,0.1,0,-40,0.8,0.5,5,0.1,0.6,1.82,0,0.05,1,82.202,1,0.771605,60.899506,33.157196,6,-999
3,65,48,2.6,6.8,0.4,0.7,0.4,35,1.6,5.9,0.9,0.1,0.2,0,20,1.2,0,7,0.3,0.3,0.83,0.1,0.15,1,83.745,1,0.864198,63.886543,29.437065,7,-999
4,30,29,1.3,6.2,1,1.6,0.1,10,0.8,3.4,2,0.2,2.6,0,40,2,0.9,7,0.2,0.9,1.01,0,0,0.018519,80.35,0.018519,1,72.62213,4.501509,0,-999
5,45,40,1.6,7.6,0.9,0.3,0,35,1.6,5.9,1,0.3,0,0,-70,1.2,0.2,9,0.1,0.3,0.85,0.05,0.05,1,82.202,1,0.854938,66.795154,30.955581,3,-999
6,40,33,1.7,6.4,0.9,0,1.5,15,1.2,3.4,0.8,1.5,1.3,0,80,1.4,0.6,5,0.3,0.1,1.3,0.15,0.15,0.910494,80.796,0.910494,0.941358,77.623611,23.293023,2,-999
7,40,34,2.3,4.7,0.7,0.3,2.9,20,1.5,3.6,1,0.1,2.5,0,30,0.4,0.7,2,0.7,0.7,4,0.25,0.1,1,82.785,1,0.929012,75.748889,31.508266,2,-999
8,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.932099,77.280093,25.133673,4,-999
9,50,49,2.2,6.1,0.8,0,1.8,20,1.5,3.6,0.8,1.7,0.9,0,40,0.9,0.5,3,0.02,0.5,3.03,0,0,1,82.853,1,0.891975,72.182099,26.525303,4,-999
